Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to experiments/RL/course_project/runs/ppo_imitation_bugfix_1_5M/tensorboard/ppo/PPO_1
---------------------------------
| rollout/           |          |
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.04e+03    |
|    ep_rew_mean          | 1.17e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 677         |
|    time_elapsed         | 1566        |
|    total_timesteps      | 1386496     |
| train/                  |             |
|    approx_kl            | 0.038410764 |
|    clip_fraction        | 0.414       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.6662379   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0549     |
|    n_updates            | 6760        |
|    policy_gradient_loss | -0.0238     |
|    std                  | 0.589       |
|    value_loss           | 0.00244     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.16e+03   |
|    ep_rew_mean          | 1.19e+03   |
| time/                   |            |
|    fps                  | 884        |
|    iterations           | 678        |
|    time_elapsed         | 1569       |
|    total_timesteps      | 1388544    |
| train/                  |            |
|    approx_kl            | 0.03638362 |
|    clip_fraction        | 0.391      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.5      |
|    explained_variance   | 0.6983677  |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0499    |
|    n_updates            | 6770       |
|    policy_gradient_loss | -0.0299    |
|    std                  | 0.589      |
|    value_loss           | 0.0101     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.16e+03    |
|    ep_rew_mean          | 1.19e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 679         |
|    time_elapsed         | 1571        |
|    total_timesteps      | 1390592     |
| train/                  |             |
|    approx_kl            | 0.045306392 |
|    clip_fraction        | 0.413       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.65364146  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.177       |
|    n_updates            | 6780        |
|    policy_gradient_loss | -0.0267     |
|    std                  | 0.59        |
|    value_loss           | 0.767       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.16e+03    |
|    ep_rew_mean          | 1.19e+03    |
| time/                   |             |
|    fps                  | 884         |
|    iterations           | 680         |
|    time_elapsed         | 1573        |
|    total_timesteps      | 1392640     |
| train/                  |             |
|    approx_kl            | 0.042556204 |
|    clip_fraction        | 0.384       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | -0.39145994 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0131     |
|    n_updates            | 6790        |
|    policy_gradient_loss | -0.0248     |
|    std                  | 0.592       |
|    value_loss           | 0.0185      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.16e+03   |
|    ep_rew_mean          | 1.19e+03   |
| time/                   |            |
|    fps                  | 884        |
|    iterations           | 681        |
|    time_elapsed         | 1576       |
|    total_timesteps      | 1394688    |
| train/                  |            |
|    approx_kl            | 0.03810381 |
|    clip_fraction        | 0.404      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.6      |
|    explained_variance   | -0.9148723 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0118    |
|    n_updates            | 6800       |
|    policy_gradient_loss | -0.0254    |
|    std                  | 0.593      |
|    value_loss           | 0.0144     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.16e+03    |
|    ep_rew_mean          | 1.19e+03    |
| time/                   |             |
|    fps                  | 884         |
|    iterations           | 682         |
|    time_elapsed         | 1578        |
|    total_timesteps      | 1396736     |
| train/                  |             |
|    approx_kl            | 0.037376553 |
|    clip_fraction        | 0.396       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.1543178   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00817     |
|    n_updates            | 6810        |
|    policy_gradient_loss | -0.0263     |
|    std                  | 0.592       |
|    value_loss           | 0.0301      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.16e+03    |
|    ep_rew_mean          | 1.19e+03    |
| time/                   |             |
|    fps                  | 884         |
|    iterations           | 683         |
|    time_elapsed         | 1581        |
|    total_timesteps      | 1398784     |
| train/                  |             |
|    approx_kl            | 0.0370207   |
|    clip_fraction        | 0.387       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | -0.56905353 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0363     |
|    n_updates            | 6820        |
|    policy_gradient_loss | -0.0238     |
|    std                  | 0.593       |
|    value_loss           | 0.0166      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.16e+03   |
|    ep_rew_mean          | 1.19e+03   |
| time/                   |            |
|    fps                  | 884        |
|    iterations           | 684        |
|    time_elapsed         | 1583       |
|    total_timesteps      | 1400832    |
| train/                  |            |
|    approx_kl            | 0.03504614 |
|    clip_fraction        | 0.361      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.6      |
|    explained_variance   | 0.5195432  |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0496    |
|    n_updates            | 6830       |
|    policy_gradient_loss | -0.023     |
|    std                  | 0.592      |
|    value_loss           | 0.00513    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.21e+03   |
|    ep_rew_mean          | 1.2e+03    |
| time/                   |            |
|    fps                  | 884        |
|    iterations           | 685        |
|    time_elapsed         | 1585       |
|    total_timesteps      | 1402880    |
| train/                  |            |
|    approx_kl            | 0.03623838 |
|    clip_fraction        | 0.376      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.6      |
|    explained_variance   | 0.64473605 |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0169     |
|    n_updates            | 6840       |
|    policy_gradient_loss | -0.0231    |
|    std                  | 0.593      |
|    value_loss           | 0.0849     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 884         |
|    iterations           | 686         |
|    time_elapsed         | 1588        |
|    total_timesteps      | 1404928     |
| train/                  |             |
|    approx_kl            | 0.037094407 |
|    clip_fraction        | 0.396       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.95948374  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0049      |
|    n_updates            | 6850        |
|    policy_gradient_loss | -0.0264     |
|    std                  | 0.593       |
|    value_loss           | 0.0916      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 884         |
|    iterations           | 687         |
|    time_elapsed         | 1590        |
|    total_timesteps      | 1406976     |
| train/                  |             |
|    approx_kl            | 0.036103316 |
|    clip_fraction        | 0.391       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.7563414   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0441     |
|    n_updates            | 6860        |
|    policy_gradient_loss | -0.0222     |
|    std                  | 0.593       |
|    value_loss           | 0.00616     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.21e+03   |
|    ep_rew_mean          | 1.2e+03    |
| time/                   |            |
|    fps                  | 884        |
|    iterations           | 688        |
|    time_elapsed         | 1592       |
|    total_timesteps      | 1409024    |
| train/                  |            |
|    approx_kl            | 0.04423573 |
|    clip_fraction        | 0.399      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.6      |
|    explained_variance   | 0.8566182  |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00333   |
|    n_updates            | 6870       |
|    policy_gradient_loss | -0.0218    |
|    std                  | 0.592      |
|    value_loss           | 0.0494     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 884         |
|    iterations           | 689         |
|    time_elapsed         | 1594        |
|    total_timesteps      | 1411072     |
| train/                  |             |
|    approx_kl            | 0.034439307 |
|    clip_fraction        | 0.398       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.7374666   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00635     |
|    n_updates            | 6880        |
|    policy_gradient_loss | -0.0262     |
|    std                  | 0.592       |
|    value_loss           | 0.0546      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 690         |
|    time_elapsed         | 1596        |
|    total_timesteps      | 1413120     |
| train/                  |             |
|    approx_kl            | 0.042339142 |
|    clip_fraction        | 0.415       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.91237617  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0229     |
|    n_updates            | 6890        |
|    policy_gradient_loss | -0.0319     |
|    std                  | 0.591       |
|    value_loss           | 0.0314      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 691         |
|    time_elapsed         | 1598        |
|    total_timesteps      | 1415168     |
| train/                  |             |
|    approx_kl            | 0.043621957 |
|    clip_fraction        | 0.423       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.73589957  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0647     |
|    n_updates            | 6900        |
|    policy_gradient_loss | -0.0292     |
|    std                  | 0.592       |
|    value_loss           | 0.0289      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 692         |
|    time_elapsed         | 1600        |
|    total_timesteps      | 1417216     |
| train/                  |             |
|    approx_kl            | 0.04003162  |
|    clip_fraction        | 0.406       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | -0.08263707 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0478     |
|    n_updates            | 6910        |
|    policy_gradient_loss | -0.0354     |
|    std                  | 0.591       |
|    value_loss           | 0.00523     |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 6.21e+03  |
|    ep_rew_mean          | 1.2e+03   |
| time/                   |           |
|    fps                  | 885       |
|    iterations           | 693       |
|    time_elapsed         | 1602      |
|    total_timesteps      | 1419264   |
| train/                  |           |
|    approx_kl            | 0.0432449 |
|    clip_fraction        | 0.388     |
|    clip_range           | 0.2       |
|    entropy_loss         | -12.6     |
|    explained_variance   | 0.7381298 |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0281   |
|    n_updates            | 6920      |
|    policy_gradient_loss | -0.035    |
|    std                  | 0.591     |
|    value_loss           | 0.0137    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 694         |
|    time_elapsed         | 1604        |
|    total_timesteps      | 1421312     |
| train/                  |             |
|    approx_kl            | 0.038213134 |
|    clip_fraction        | 0.406       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | -1.1836154  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0435     |
|    n_updates            | 6930        |
|    policy_gradient_loss | -0.0295     |
|    std                  | 0.591       |
|    value_loss           | 0.0204      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.21e+03   |
|    ep_rew_mean          | 1.2e+03    |
| time/                   |            |
|    fps                  | 885        |
|    iterations           | 695        |
|    time_elapsed         | 1606       |
|    total_timesteps      | 1423360    |
| train/                  |            |
|    approx_kl            | 0.04377343 |
|    clip_fraction        | 0.403      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.6      |
|    explained_variance   | 0.90021235 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0234    |
|    n_updates            | 6940       |
|    policy_gradient_loss | -0.0267    |
|    std                  | 0.591      |
|    value_loss           | 0.00815    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 696         |
|    time_elapsed         | 1609        |
|    total_timesteps      | 1425408     |
| train/                  |             |
|    approx_kl            | 0.034905426 |
|    clip_fraction        | 0.385       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.5781987   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0606     |
|    n_updates            | 6950        |
|    policy_gradient_loss | -0.032      |
|    std                  | 0.594       |
|    value_loss           | 0.00685     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 697         |
|    time_elapsed         | 1611        |
|    total_timesteps      | 1427456     |
| train/                  |             |
|    approx_kl            | 0.040610112 |
|    clip_fraction        | 0.405       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.5892525   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0405     |
|    n_updates            | 6960        |
|    policy_gradient_loss | -0.0252     |
|    std                  | 0.593       |
|    value_loss           | 0.00656     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21e+03    |
|    ep_rew_mean          | 1.2e+03     |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 698         |
|    time_elapsed         | 1614        |
|    total_timesteps      | 1429504     |
| train/                  |             |
|    approx_kl            | 0.035388693 |
|    clip_fraction        | 0.418       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.9004606   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0451     |
|    n_updates            | 6970        |
|    policy_gradient_loss | -0.0288     |
|    std                  | 0.592       |
|    value_loss           | 0.00348     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.48e+03    |
|    ep_rew_mean          | 1.26e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 699         |
|    time_elapsed         | 1616        |
|    total_timesteps      | 1431552     |
| train/                  |             |
|    approx_kl            | 0.043068744 |
|    clip_fraction        | 0.404       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.8146949   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0336     |
|    n_updates            | 6980        |
|    policy_gradient_loss | -0.0344     |
|    std                  | 0.593       |
|    value_loss           | 0.0298      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.48e+03    |
|    ep_rew_mean          | 1.26e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 700         |
|    time_elapsed         | 1619        |
|    total_timesteps      | 1433600     |
| train/                  |             |
|    approx_kl            | 0.033110797 |
|    clip_fraction        | 0.393       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.8545866   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0245     |
|    n_updates            | 6990        |
|    policy_gradient_loss | -0.0222     |
|    std                  | 0.594       |
|    value_loss           | 0.0958      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.48e+03    |
|    ep_rew_mean          | 1.26e+03    |
| time/                   |             |
|    fps                  | 884         |
|    iterations           | 701         |
|    time_elapsed         | 1622        |
|    total_timesteps      | 1435648     |
| train/                  |             |
|    approx_kl            | 0.032012336 |
|    clip_fraction        | 0.389       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.5909008   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.07       |
|    n_updates            | 7000        |
|    policy_gradient_loss | -0.0246     |
|    std                  | 0.593       |
|    value_loss           | 0.00796     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.48e+03   |
|    ep_rew_mean          | 1.26e+03   |
| time/                   |            |
|    fps                  | 884        |
|    iterations           | 702        |
|    time_elapsed         | 1624       |
|    total_timesteps      | 1437696    |
| train/                  |            |
|    approx_kl            | 0.04259728 |
|    clip_fraction        | 0.416      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.6      |
|    explained_variance   | 0.32186383 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.054     |
|    n_updates            | 7010       |
|    policy_gradient_loss | -0.0255    |
|    std                  | 0.593      |
|    value_loss           | 0.00998    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.53e+03    |
|    ep_rew_mean          | 1.27e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 703         |
|    time_elapsed         | 1626        |
|    total_timesteps      | 1439744     |
| train/                  |             |
|    approx_kl            | 0.040592223 |
|    clip_fraction        | 0.385       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.54960537  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0266     |
|    n_updates            | 7020        |
|    policy_gradient_loss | -0.025      |
|    std                  | 0.593       |
|    value_loss           | 0.0134      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.53e+03   |
|    ep_rew_mean          | 1.27e+03   |
| time/                   |            |
|    fps                  | 884        |
|    iterations           | 704        |
|    time_elapsed         | 1629       |
|    total_timesteps      | 1441792    |
| train/                  |            |
|    approx_kl            | 0.03507462 |
|    clip_fraction        | 0.411      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.6      |
|    explained_variance   | 0.882011   |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0112    |
|    n_updates            | 7030       |
|    policy_gradient_loss | -0.0248    |
|    std                  | 0.591      |
|    value_loss           | 0.064      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.53e+03    |
|    ep_rew_mean          | 1.27e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 705         |
|    time_elapsed         | 1631        |
|    total_timesteps      | 1443840     |
| train/                  |             |
|    approx_kl            | 0.038738754 |
|    clip_fraction        | 0.382       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.111599684 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0101     |
|    n_updates            | 7040        |
|    policy_gradient_loss | -0.0243     |
|    std                  | 0.592       |
|    value_loss           | 0.00967     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 706         |
|    time_elapsed         | 1633        |
|    total_timesteps      | 1445888     |
| train/                  |             |
|    approx_kl            | 0.036288686 |
|    clip_fraction        | 0.407       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | -0.36053658 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0119     |
|    n_updates            | 7050        |
|    policy_gradient_loss | -0.0196     |
|    std                  | 0.59        |
|    value_loss           | 0.00198     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 707         |
|    time_elapsed         | 1635        |
|    total_timesteps      | 1447936     |
| train/                  |             |
|    approx_kl            | 0.038313814 |
|    clip_fraction        | 0.388       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.9508872   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0183     |
|    n_updates            | 7060        |
|    policy_gradient_loss | -0.0257     |
|    std                  | 0.591       |
|    value_loss           | 0.0783      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 708         |
|    time_elapsed         | 1637        |
|    total_timesteps      | 1449984     |
| train/                  |             |
|    approx_kl            | 0.041098833 |
|    clip_fraction        | 0.401       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.7658453   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0298     |
|    n_updates            | 7070        |
|    policy_gradient_loss | -0.0351     |
|    std                  | 0.59        |
|    value_loss           | 0.00444     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 709         |
|    time_elapsed         | 1640        |
|    total_timesteps      | 1452032     |
| train/                  |             |
|    approx_kl            | 0.033884086 |
|    clip_fraction        | 0.381       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.7450206   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0392     |
|    n_updates            | 7080        |
|    policy_gradient_loss | -0.0271     |
|    std                  | 0.59        |
|    value_loss           | 0.00297     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.59e+03   |
|    ep_rew_mean          | 1.28e+03   |
| time/                   |            |
|    fps                  | 885        |
|    iterations           | 710        |
|    time_elapsed         | 1642       |
|    total_timesteps      | 1454080    |
| train/                  |            |
|    approx_kl            | 0.03607322 |
|    clip_fraction        | 0.399      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.5      |
|    explained_variance   | 0.82782227 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0314    |
|    n_updates            | 7090       |
|    policy_gradient_loss | -0.0261    |
|    std                  | 0.591      |
|    value_loss           | 0.00429    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 711         |
|    time_elapsed         | 1644        |
|    total_timesteps      | 1456128     |
| train/                  |             |
|    approx_kl            | 0.039735883 |
|    clip_fraction        | 0.4         |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.6       |
|    explained_variance   | 0.5221473   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.039      |
|    n_updates            | 7100        |
|    policy_gradient_loss | -0.0307     |
|    std                  | 0.591       |
|    value_loss           | 0.00696     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 712         |
|    time_elapsed         | 1646        |
|    total_timesteps      | 1458176     |
| train/                  |             |
|    approx_kl            | 0.035404615 |
|    clip_fraction        | 0.39        |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.5       |
|    explained_variance   | 0.6060771   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.058      |
|    n_updates            | 7110        |
|    policy_gradient_loss | -0.0289     |
|    std                  | 0.588       |
|    value_loss           | 0.00735     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.59e+03   |
|    ep_rew_mean          | 1.28e+03   |
| time/                   |            |
|    fps                  | 885        |
|    iterations           | 713        |
|    time_elapsed         | 1648       |
|    total_timesteps      | 1460224    |
| train/                  |            |
|    approx_kl            | 0.03971412 |
|    clip_fraction        | 0.38       |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.5      |
|    explained_variance   | 0.60768896 |
|    learning_rate        | 0.0003     |
|    loss                 | 0.000757   |
|    n_updates            | 7120       |
|    policy_gradient_loss | -0.0293    |
|    std                  | 0.588      |
|    value_loss           | 0.00259    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.59e+03   |
|    ep_rew_mean          | 1.28e+03   |
| time/                   |            |
|    fps                  | 885        |
|    iterations           | 714        |
|    time_elapsed         | 1651       |
|    total_timesteps      | 1462272    |
| train/                  |            |
|    approx_kl            | 0.03526912 |
|    clip_fraction        | 0.386      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.5      |
|    explained_variance   | 0.7989597  |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0435    |
|    n_updates            | 7130       |
|    policy_gradient_loss | -0.0276    |
|    std                  | 0.586      |
|    value_loss           | 0.00399    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 715         |
|    time_elapsed         | 1653        |
|    total_timesteps      | 1464320     |
| train/                  |             |
|    approx_kl            | 0.041035496 |
|    clip_fraction        | 0.408       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | 0.5725925   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.041      |
|    n_updates            | 7140        |
|    policy_gradient_loss | -0.0325     |
|    std                  | 0.584       |
|    value_loss           | 0.00401     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 716         |
|    time_elapsed         | 1655        |
|    total_timesteps      | 1466368     |
| train/                  |             |
|    approx_kl            | 0.039004013 |
|    clip_fraction        | 0.413       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | 0.46007973  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0396     |
|    n_updates            | 7150        |
|    policy_gradient_loss | -0.0306     |
|    std                  | 0.585       |
|    value_loss           | 0.00593     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 885         |
|    iterations           | 717         |
|    time_elapsed         | 1658        |
|    total_timesteps      | 1468416     |
| train/                  |             |
|    approx_kl            | 0.044455536 |
|    clip_fraction        | 0.421       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | 0.8813081   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0779     |
|    n_updates            | 7160        |
|    policy_gradient_loss | -0.0386     |
|    std                  | 0.586       |
|    value_loss           | 0.00916     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 884         |
|    iterations           | 718         |
|    time_elapsed         | 1662        |
|    total_timesteps      | 1470464     |
| train/                  |             |
|    approx_kl            | 0.042454813 |
|    clip_fraction        | 0.415       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | -2.2823305  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00892    |
|    n_updates            | 7170        |
|    policy_gradient_loss | -0.0323     |
|    std                  | 0.585       |
|    value_loss           | 0.0291      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 884         |
|    iterations           | 719         |
|    time_elapsed         | 1664        |
|    total_timesteps      | 1472512     |
| train/                  |             |
|    approx_kl            | 0.036880013 |
|    clip_fraction        | 0.413       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | 0.55765986  |
|    learning_rate        | 0.0003      |
